Area,Category,Item,Description,Date,Orders,Type of Order
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-07-02,75,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-10-15,110,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-13,77,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-08-19,194,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-05,87,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-04,75,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-06-18,27,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-08-08,197,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-29,54,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-18,35,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-09-09,38,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-04-23,3,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-04,111,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-05-24,42,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-04-01,35,Dining
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-05-20,10,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-01-05,143,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-09-04,114,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-27,143,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-11-15,33,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-16,196,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-10-17,86,Online
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-06-14,50,Online
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-01-29,86,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-09,32,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-04-19,146,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-07-22,191,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-08,185,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-03-24,107,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-10-12,65,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-29,150,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-03-03,38,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-04-15,3,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-05-04,197,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-28,20,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-09-18,84,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-03-08,118,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-26,130,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-05-17,37,Online
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-10-02,195,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-09-26,61,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-08-25,129,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-06-12,139,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-18,190,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-10-20,71,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-03-18,195,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-07,32,Online
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-04-14,17,Dining
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-07-22,116,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-12-12,119,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-16,13,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-04-13,109,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-05-25,78,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-12-18,135,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-11-29,105,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-06-11,105,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-08,43,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-10-27,163,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-08-15,26,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-16,3,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-27,162,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-05-27,162,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-22,148,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-01,103,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-08-18,159,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-18,98,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-08-15,176,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-06-26,75,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-12-10,94,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-06-18,74,Dining
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-06-08,73,Takeaway
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-03-27,93,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-02-08,57,Online
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-10-22,43,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-28,180,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-12-16,173,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-08-19,14,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-01-17,5,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-05-17,78,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-09-16,143,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-02-03,115,Takeaway
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-05-03,115,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-07-28,47,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-01-10,34,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-05-31,153,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-11-25,11,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-09-04,71,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-06-17,3,Takeaway
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-06-13,31,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-02-17,103,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-06,176,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-10-08,123,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-09,62,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-06-12,135,Online
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-29,7,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-06-23,127,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-01-19,73,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-02-28,62,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-07-15,149,Online
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-03-17,147,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-08,81,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-03-30,24,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-06-18,122,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-03-03,56,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-10,15,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-06-09,70,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-07-06,10,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-03-28,118,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-12,71,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-07-14,166,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-03-30,108,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-02-15,80,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-07-01,194,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-18,179,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-01-18,124,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-10-14,149,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-04-04,193,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-05,156,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-07-16,159,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-05-19,5,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-07-01,99,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-07-10,128,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-10-14,48,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-11-24,27,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-22,148,Online
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-02-19,54,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-03-14,35,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-12-25,53,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-07-30,166,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-06-06,61,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-12-04,164,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-12-24,64,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-03-31,86,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-03-05,160,Dining
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-08,144,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-10-23,89,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-04-09,102,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-09-30,197,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-12-31,88,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-05-17,63,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-02-09,86,Takeaway
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-04-17,132,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-02-21,20,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-05-27,116,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-09-30,62,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-05-12,57,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-04-06,192,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-03-19,30,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-11,128,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-06-30,102,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-08-02,137,Takeaway
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-03-17,151,Online
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-01-27,13,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-12-19,110,Takeaway
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-12-26,33,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-03-31,56,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-03-27,14,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-07-31,127,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-02-13,145,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-21,169,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-05-06,125,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-29,94,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-07-11,66,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-09-16,54,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-30,60,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-12-07,67,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-11-15,57,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-11,175,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-10-02,8,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-04-28,98,Takeaway
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-06-29,39,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-09-08,81,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-11-08,114,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-11,31,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-12-03,105,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-10-21,196,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-20,197,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-01-26,56,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-14,79,Takeaway
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-01-01,25,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-08-14,70,Online
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-01-11,39,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-29,21,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-12-14,182,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-06-06,174,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-21,33,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-09-28,138,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-07-25,185,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-28,194,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-11-07,123,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-09-29,91,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-01-31,15,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-04-24,42,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-26,61,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-11,145,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-03-24,91,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-25,6,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-11-08,16,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-06-06,129,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-05-31,173,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-26,40,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-11-22,72,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-10-10,97,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-09-03,43,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-19,93,Dining
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-12-06,189,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-06-26,147,Takeaway
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-10-09,99,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-02-16,193,Dining
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-10-15,126,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-02-22,42,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2021-12-26,158,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-08-28,183,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-21,179,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-20,84,Online
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-10-19,169,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-10-21,191,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-09-20,125,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-09-17,71,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-12-13,138,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-04-19,173,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-01-09,21,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-03-17,128,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-31,144,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-25,31,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-12-18,63,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-08-06,77,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-07-02,156,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-27,15,Takeaway
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-20,26,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-07-20,125,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-12-05,48,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-27,126,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-05-24,13,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-01-10,51,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-01-27,75,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-01-13,133,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-03-28,141,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-02-22,155,Dining
